ID,createdate,closedate,contract_signed_at,spin_at,proposal_at,mrr,lost_reason,prob,country,drs,stage,paid_at,deals,spins,proposal,contract_signed,won,lost,size,no_show,lost_after_spin,paid_clinics,month_created,month_spin,month_proposal,month_contract,month_paid,month_closed,MRR number value,Drs - number value,True size
8656025187,2022-04-19,2022-05-05,,,,10,Abandoned,,Spain,419,Closed lost [set-lost],,1,0,0,0,0,1,extra (>25),1,0,0,2022-04-01,,,,,2022-05-01,10,419,extra (>25)
8656166271,2022-04-19,2022-04-26,,,,999,No Product Fit,,Spain,30,Closed lost [set-lost],,1,0,0,0,0,1,extra (>25),1,0,0,2022-04-01,,,,,2022-04-01,999,30,extra (>25)
8712211797,2022-04-25,2022-06-30,2022-06-28,2022-04-26,2022-05-05,1.931,,2,Brazil,8,Closed won,2022-06-30,1,1,1,1,1,0,medium (6-10),0,0,1,2022-04-01,2022-04-01,2022-05-01,2022-06-01,2022-06-01,2022-06-01,1.931,8,medium (6-10)
8714112593,2022-04-25,2022-05-06,,2022-04-26,,2.661,Abandoned,2,Brazil,18,Closed lost [set-lost],,1,1,0,0,0,1,big (16-20),0,1,0,2022-04-01,2022-04-01,,,,2022-05-01,2.661,18,big (16-20)
8714428011,2022-04-25,2022-05-09,,2022-04-27,2022-04-27,4.697,[CA] Fit for another Doctoralia product,2,Mexico,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,4.697,3,small (2-5)
8718446227,2022-04-26,2022-05-03,,2022-04-26,2022-04-28,494,Insufficient Funds,2,Italy,5,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,494,5,small (2-5)
8718536324,2022-04-26,2022-05-26,,2022-04-26,2022-04-26,197,Internal Development,2,Italy,2,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,197,2,small (2-5)
8718593810,2022-04-26,2022-06-10,,2022-05-05,2022-05-05,195,Insufficient Funds,2,Spain,4,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-05-01,2022-05-01,,,2022-06-01,195,4,small (2-5)
8721549727,2022-04-26,2022-06-22,,,,,Postponed,,Brazil,3,Closed lost [set-lost],,1,0,0,0,0,1,small (2-5),1,0,0,2022-04-01,,,,,2022-06-01,,3,small (2-5)
8721721406,2022-04-26,2022-04-29,2022-04-27,2022-04-26,2022-04-26,282,,2,Spain,7,Closed won,,1,1,1,1,1,0,medium (6-10),0,0,0,2022-04-01,2022-04-01,2022-04-01,2022-04-01,,2022-04-01,282,7,medium (6-10)
8721764694,2022-04-26,2022-05-06,,2022-04-28,2022-04-29,216,Price too high,1,Spain,3,Closed lost [set-lost],,1,1,1,0,0,1,small (2-5),0,0,0,2022-04-01,2022-04-01,2022-04-01,,,2022-05-01,216,3,small (2-5)
